Column1
Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Domácí,Služba vlasti i odloučení od rodiny. Skoro 500 vojáků získalo ocenění za nasazení na misích,2198,69.01728844404003,56.23293903548681,44.35850773430391,35.35031847133758
Bydlení,Fanda do vlaků bydlí v opuštěném nádraží. Teď k němu přidal i luxusně zařízený historický vagon,2193,81.80574555403557,73.18741450068399,65.61787505699954,58.23073415412676
Počasí,Stoupající hladina moří boří domy. Egyptská Alexandrie čelí nové hrozbě,2137,90.4071127749181,81.4225549836219,70.75339260645765,62.33036967711746
Komentáře,Trefa Adély Knapové: Ukrajinci touží po míru, Rusko za každou cenu vyhrát,2029,70.97092163627403,50.96106456382454,39.13257762444554,33.61261705273534
Krimi,Zloději v Praze strhávají turistům sledujícím orloj zlaté šperky z krku,1953,89.29851510496671,84.07578084997441,78.59703020993344,73.1694828469022
Počasí,Požáry ve Španělsku a Portugalsku mají další oběti, uzavřeli poutní cestu do Santiaga,1828,88.18380743982495,79.86870897155362,71.38949671772428,67.28665207877462
Zahraniční,Krokodýl usmrtil 13letého indonéského chlapce, který si šel do řeky pro zakopnutý míč,1799,93.3852140077821,90.550305725403,88.04891606448027,85.04724847137298
Plzeňský kraj,Plzeň touží po soukromé rozhledně na Chlumu, možná ji smění za pozemky,1797,91.81969949916528,88.59209794101281,85.36449638286032,81.46911519198665
TV a streaming,RECENZE: Seriál Mladá krev sází na neokoukané tváře a zkušenou režisérku,1759,89.3689596361569,82.94485503126776,76.12279704377487,76.06594656054575
Zdraví,Cvičení, kvůli kterému nemusíte vstát z gauče,1734,82.00692041522491,72.49134948096886,64.12918108419838,55.70934256055363
Krimi,V bytě v Libčicích nad Vltavou hořelo, uvnitř našli mrtvého muže,1713,81.08581436077058,68.7098657326328,68.7098657326328,68.7098657326328
Koktejl,Krysa v Kambodži vytvořila nový rekord, našla 109 nevybuchlých min,1709,92.91983616149795,90.05266237565827,77.41369221767116,73.14218841427736
